Date,Open,High,Low,Close,Adj Close,Volume
2011-11-28,4.770000,4.830000,4.770000,4.780000,4.057615,7800
2011-11-29,4.830000,4.830000,4.730000,4.740000,4.023659,18800
2011-11-30,5.160000,5.160000,5.100000,5.100000,4.329254,10500
2011-12-01,5.040000,5.060000,4.980000,5.000000,4.244367,17200
2011-12-02,5.150000,5.150000,5.070000,5.070000,4.303788,24000
2011-12-05,5.220000,5.220000,5.130000,5.180000,4.397163,12900
2011-12-06,5.150000,5.230000,5.150000,5.180000,4.397163,7000
2011-12-07,5.190000,5.300000,5.190000,5.250000,4.456584,115000
2011-12-08,5.200000,5.200000,5.070000,5.070000,4.303788,28500
2011-12-09,5.070000,5.240000,5.070000,5.240000,4.448095,43900
2011-12-12,4.980000,5.010000,4.940000,5.000000,4.244367,90800
2011-12-13,5.050000,5.050000,4.980000,5.010000,4.252855,6900
2011-12-14,4.950000,4.950000,4.880000,4.890000,4.150990,4500
2011-12-15,5.250000,5.330000,5.240000,5.260000,4.465074,45300
2011-12-16,5.170000,5.250000,5.170000,5.190000,4.405653,16100
2011-12-19,5.260000,5.290000,5.200000,5.200000,4.414141,172200
2011-12-20,5.320000,5.410000,5.320000,5.390000,4.575428,29300
2011-12-21,5.290000,5.360000,5.280000,5.360000,4.549962,26100
2011-12-22,5.360000,5.400000,5.300000,5.390000,4.575428,15600
2011-12-23,5.330000,5.450000,5.330000,5.360000,4.549962,32800
2011-12-27,5.320000,5.380000,5.320000,5.380000,4.566939,15000
2011-12-28,5.260000,5.330000,5.260000,5.310000,4.507518,25100
2011-12-29,5.350000,5.390000,5.300000,5.380000,4.566939,15700
2011-12-30,5.450000,5.460000,5.340000,5.450000,4.626360,14700
2012-01-03,5.520000,5.550000,5.520000,5.540000,4.702758,49100
2012-01-04,5.560000,5.560000,5.500000,5.510000,4.677293,18000
2012-01-05,5.450000,5.530000,5.450000,5.530000,4.694270,52800
2012-01-06,5.400000,5.430000,5.380000,5.420000,4.600893,42100
2012-01-09,5.410000,5.440000,5.380000,5.440000,4.617870,27900
2012-01-10,5.690000,5.690000,5.630000,5.690000,4.830089,2228700
2012-01-11,5.500000,5.620000,5.500000,5.600000,4.753691,53300
2012-01-12,5.720000,5.720000,5.640000,5.700000,4.838579,144900
2012-01-13,5.530000,5.570000,5.530000,5.570000,4.728224,83900
2012-01-17,5.540000,5.540000,5.510000,5.510000,4.677293,27900
2012-01-18,5.500000,5.520000,5.450000,5.520000,4.685781,28100
2012-01-19,5.370000,5.390000,5.350000,5.390000,4.575428,23700
2012-01-20,5.250000,5.250000,5.180000,5.240000,4.448095,17300
2012-01-23,5.220000,5.300000,5.220000,5.230000,4.439608,9600
2012-01-24,5.230000,5.240000,5.200000,5.200000,4.414141,30300
2012-01-25,5.090000,5.120000,5.030000,5.090000,4.320766,33400
2012-01-26,5.120000,5.120000,5.030000,5.030000,4.269833,37800
2012-01-27,5.240000,5.240000,5.170000,5.190000,4.405653,9100
2012-01-30,5.290000,5.290000,5.230000,5.240000,4.448095,28400
2012-01-31,5.360000,5.460000,5.360000,5.450000,4.626360,42200
2012-02-01,5.350000,5.350000,5.280000,5.350000,4.541473,11100
2012-02-02,5.210000,5.320000,5.210000,5.240000,4.448095,15700
2012-02-03,5.170000,5.240000,5.170000,5.240000,4.448095,10400
2012-02-06,4.910000,4.980000,4.910000,4.930000,4.184945,8900
2012-02-07,4.890000,4.890000,4.840000,4.860000,4.125525,18900
